id,title,original_title,overview,premiere_date,popularity,genre,country_origin,original_language,rating,votes
13,Attack on Titan,進撃の巨人,"100 years ago, the last remnants of humanity were forced to retreat behind the towering walls of a fortified city to escape the massive, man-eating Titans that roamed the land outside their fortress. Only the members of the Scouting Legion dared to stray beyond the safety of the walls – but even those brave warriors seldom returned alive. Those within the city clung to the illusion of a peaceful existence until the day that dream was shattered, and their slim chance at survival was reduced to one horrifying choice: kill – or be devoured!",2013-04-07,20.5904,"Animation, Sci-Fi & Fantasy, Action & Adventure",Japan,Japanese,8.7,7084
14,Hazbin Hotel,Hazbin Hotel,"In attempt to find a non-violent alternative for reducing Hell's overpopulation, the daughter of Lucifer opens a rehabilitation hotel that offers a group of misfit demons a chance at redemption.",2024-01-18,140.6574,"Animation, Comedy, Drama, Sci-Fi & Fantasy",United States,English,8.656,1429
15,The Owl House,The Owl House,"An animated fantasy-comedy series that follows Luz, a self-assured teenage girl who accidentally stumbles upon a portal to a magical world where she befriends a rebellious witch, Eda, and an adorably tiny warrior, King. Despite not having magical abilities, Luz pursues her dream of becoming a witch by serving as Eda's apprentice at the Owl House and ultimately finds a new family in an unlikely setting.",2020-01-10,14.163,"Animation, Sci-Fi & Fantasy, Drama, Action & Adventure, Comedy, Kids",United States,English,8.7,1728
16,Hunter x Hunter,HUNTER×HUNTER,"To fulfill his dreams of becoming a legendary Hunter like his dad, a young boy must pass a rigorous examination and find his missing father.",2011-10-02,35.8198,"Animation, Action & Adventure, Sci-Fi & Fantasy",Japan,Japanese,8.66,1971
17,Anne with an E,Anne with an E,"A coming-of-age story about an outsider who, against all odds and numerous challenges, fights for love and acceptance and for her place in the world. The series centers on a young orphaned girl in the late 1890s, who, after an abusive childhood spent in orphanages and the homes of strangers, is mistakenly sent to live with an elderly woman and her aging brother. Over time, 13-year-old Anne will transform their lives and eventually the small town in which they live with her unique spirit, fierce intellect and brilliant imagination.",2017-03-19,14.5148,"Drama, Family",Canada,English,8.7,4832
18,The Sopranos,The Sopranos,"The story of New Jersey-based Italian-American mobster Tony Soprano and the difficulties he faces as he tries to balance the conflicting requirements of his home life and the criminal organization he heads. Those difficulties are often highlighted through his ongoing professional relationship with psychiatrist Jennifer Melfi. The show features Tony's family members and Mafia associates in prominent roles and story arcs, most notably his wife Carmela and his cousin and protégé Christopher Moltisanti.",1999-01-10,59.8011,"Crime, Drama",United States,English,8.6,3185
19,Slam Dunk,スラムダンク,"Sakuragi Hanamichi is a junior high punk used to getting into fights and being rejected by girls but upon entering high school he meets the girl of his dreams, Haruko Akagi. He will do anything in order to win her heart including joining the school basketball team that is aiming to conquer the nation lead by Haruko's brother. The problem is that Sakuragi has never played basketball before and a freshman sensation is stealing the spotlight and Haruko's affection from him.",1993-10-16,12.9971,"Animation, Comedy",Japan,Japanese,8.6,938
20,The Pitt,The Pitt,The staff of Pittsburgh's Trauma Medical Center work around the clock to save lives in an overcrowded and underfunded emergency department.,2025-01-09,21.9981,Drama,United States,English,8.645,297
21,Kamisama Kiss,神様はじめました,"Nanami was just a normal high school girl down on her luck until a stranger’s lips marked her as the new Land God and turned her world upside down. Now, she’s figuring out the duties of a deity with the help of Tomoe, a reformed fox demon who reluctantly becomes her familiar in a contract sealed with a kiss. The new responsibilities—and boys—are a lot to handle, like the crow demon masquerading as a gorgeous pop idol and the adorable snake spirit who’s chosen the newly minted god to be his bride. As the headstrong Tomoe tries to whip her into shape, Nanami finds that love just might have cute, pointed fox ears. With romance in the air, will the human deity be able to prove herself worthy of her new title?",2012-10-02,8.0973,"Animation, Comedy, Sci-Fi & Fantasy",Japan,Japanese,8.64,982
22,Demon Slayer: Kimetsu no Yaiba,鬼滅の刃,"After a demon attack leaves his family slain and his sister cursed, Tanjiro embarks upon a perilous journey to find a cure and avenge those he's lost.",2019-04-06,21.1091,"Animation, Action & Adventure, Sci-Fi & Fantasy",Japan,Japanese,8.6,6975
23,Once,O11CE,"The series revolves around Gabo, a soccer-loving teenager who, upon receiving a scholarship from the prestigious Sports Academic Institute (IAD) of Buenos Aires, will see his dream of playing at Los Halcones Dorados, the renowned amateur team of the school, and also his longing to become a professional footballer.",2017-06-19,12.6064,"Comedy, Family, Soap",Argentina,Spanish,8.639,1498
24,Fighting Spirit,はじめの一歩,"Makunouchi Ippo is an ordinary high school student in Japan. Since he spends most of his time away from school helping his mother run the family business, he doesn't get to enjoy his younger years like most teenagers. Always a target for bullying at school (the family fishing business grants him a distinct odor), Ippo's life is one of hardship. One of these after-school bullying sessions turns Ippo's life around for the better, as he is saved by a boxer named Takamura. He decides to follow in Takamura's footsteps and train to become a boxer, giving his life direction and purpose. Ippo's path to perfecting his pugilistic prowess is just beginning...",2000-10-03,19.7234,"Animation, Comedy, Drama, Action & Adventure",Japan,Japanese,8.63,1147
25,Regular Show,Regular Show,The surreal misadventures of two best friends - a blue jay and a raccoon - as they seek to liven up their mundane jobs as groundskeepers at the local park.,2010-09-06,38.9142,"Animation, Comedy",United States,English,8.627,2149
26,Cosmos: A Personal Voyage,Cosmos: A Personal Voyage,"Carl Sagan covers a wide range of scientific subjects, including the origin of life and a perspective of our place in the universe.",1980-09-28,3.8724,Documentary,United States,English,8.6,402
27,Wizards of Waverly Place,Wizards of Waverly Place,"Alex, Justin and Max Russo are not your ordinary kids - they're wizards in training! While their parents run the Waverly Sub Station, the siblings struggle to balance their ordinary lives while learning to master their extraordinary powers.",2007-10-12,12.2642,"Comedy, Sci-Fi & Fantasy, Kids",United States,English,8.6,1146
28,Death Note,DEATH NOTE,"Light Yagami is an ace student with great prospects—and he’s bored out of his mind. But all that changes when he finds the Death Note, a notebook dropped by a rogue Shinigami death god. Any human whose name is written in the notebook dies, and Light has vowed to use the power of the Death Note to rid the world of evil. But will Light succeed in his noble goal, or will the Death Note turn him into the very thing he fights against?",2006-10-04,17.2726,"Animation, Mystery, Sci-Fi & Fantasy",Japan,Japanese,8.622,4597
29,INVINCIBLE,INVINCIBLE,"Mark Grayson is a normal teenager except for the fact that his father is the most powerful superhero on the planet. Shortly after his seventeenth birthday, Mark begins to develop powers of his own and enters into his father’s tutelage.",2021-03-25,30.1695,"Animation, Sci-Fi & Fantasy, Action & Adventure, Drama",United States,English,8.6,5172
30,Primal,Primal,A caveman forms a bond with a dinosaur as they struggle to survive in a hostile world.,2019-10-08,7.9103,"Action & Adventure, Animation, Drama",United States,English,8.623,1475
31,Toilet-Bound Hanako-kun,地縛少年花子くん,"To be united with her crush, a hopeless romantic summons the ghost in the girls' bathroom at her school. But she's shocked when the ghost is a boy!",2020-01-10,12.1135,"Animation, Mystery, Comedy, Action & Adventure, Drama",Japan,Japanese,8.6,754
32,My Hero Academia,僕のヒーローアカデミア,"After he saves a bully from a Villain, a normal student is granted a superpower that allows him to attend a high school training academy for Heroes.",2016-04-03,20.4111,"Action & Adventure, Animation, Sci-Fi & Fantasy",Japan,Japanese,8.62,5124
33,The Apothecary Diaries,薬屋のひとりごと,"Maomao lived a peaceful life with her apothecary father. Until one day, she's sold as a lowly servant to the emperor's palace. But she wasn't meant for a compliant life among royalty. So when imperial heirs fall ill, she decides to step in and find a cure! This catches the eye of Jinshi, a handsome palace official who promotes her. Now, she's making a name for herself solving medical mysteries!",2023-10-22,28.8855,"Animation, Drama, Mystery",Japan,Japanese,8.614,471
34,I Am Not an Animal,I Am Not an Animal,"I Am Not An Animal is an animated comedy series about the only six talking animals in the world, whose cosseted existence in a vivisection unit is turned upside down when they are liberated by animal rights activists.",2004-05-10,1.6613,"Animation, Comedy, Sci-Fi & Fantasy",United Kingdom,English,8.6,785
35,Solo Leveling,俺だけレベルアップな件,"They say whatever doesn’t kill you makes you stronger, but that’s not the case for the world’s weakest hunter Sung Jinwoo. After being brutally slaughtered by monsters in a high-ranking dungeon, Jinwoo came back with the System, a program only he could see, that’s leveling him up in every way. Now, he’s inspired to discover the secrets behind his powers and the dungeon that spawned them.",2024-01-07,35.5635,"Animation, Action & Adventure, Sci-Fi & Fantasy",Japan,Japanese,8.608,1434
36,Planet Earth II,Planet Earth II,David Attenborough presents a documentary series exploring how animals meet the challenges of surviving in the most iconic habitats on earth.,2016-11-06,5.0673,"Documentary, Family",United Kingdom,English,8.6,864
37,Ranma ½,らんま1/2,"Ranma Saotome, a teenage martial artist, and his father Genma travel to the 'cursed training ground' of Jusenkyo in China. There, despite the warnings of the Chinese guard, they fall into the cursed springs. From now on, whenever Ranma is doused in cold water, he turns into a girl and a cute, well-built redhead at that. Hot water changes him back into a man again, but only until the next time. To make matters worse, his father engages him to Akane Tendo, a girl who hates boys.",1989-04-15,26.7125,"Comedy, Action & Adventure, Animation, Sci-Fi & Fantasy",Japan,Japanese,8.6,1477
38,Run BTS!,달려라 방탄!,"Run BTS! is a variety web series starring BTS, broadcasting intermittent for free viewing on Weverse and YouTube, was formerly offered weekly for free viewing on V LIVE.",2015-08-01,12.8989,Reality,South Korea,Korean,8.606,371
39,Haikyu!!,ハイキュー!!,"Inspired by a small-statured pro volleyball player, Shouyou Hinata creates a volleyball team in his last year of middle school. Unfortunately the team is matched up against the ""King of the Court"" Tobio Kageyama's team in their first tournament and inevitably lose. After the crushing defeat, Hinata vows to surpass Kageyama. After entering high school, Hinata joins the volleyball team only to find that Tobio has also joined.",2014-04-06,17.6834,"Animation, Comedy, Drama",Japan,Japanese,8.6,1444
40,The Wire,The Wire,"Told from the points of view of both the Baltimore homicide and narcotics detectives and their targets, the series captures a universe in which the national war on drugs has become a permanent, self-sustaining bureaucracy, and distinctions between good and evil are routinely obliterated.",2002-06-02,40.4145,"Crime, Drama",United States,English,8.6,2493
41,Weak Hero,약한영웅,"With the aid of unexpected friends, a gifted but introverted student confronts bullies and violent foes — unaware of how dangerous his world will become.",2022-11-18,37.0399,"Action & Adventure, Drama",South Korea,Korean,8.599,323
42,Merlí,Merlí,"He’s surly, unorthodox, unapologetically blunt, and he’s about to change your life. Meet the new philosophy teacher, Merlí, who will help his students view the world in a whole new light, both in and out of the classroom.",2015-09-14,4.2113,"Comedy, Drama",Spain,Catalan,8.6,1146
43,Gravity Falls,Gravity Falls,"Twin brother and sister Dipper and Mabel Pines are in for an unexpected adventure when they spend the summer helping their great uncle Stan run a tourist trap in the mysterious town of Gravity Falls, Oregon.",2012-06-15,21.2564,"Animation, Comedy, Mystery, Sci-Fi & Fantasy, Kids, Action & Adventure, Family",United States,English,8.6,3288
44,Goblin,쓸쓸하고 찬란하神-도깨비,"In his quest for a bride to break his immortal curse, a 939-year-old guardian of souls meets a grim reaper and a sprightly student with a tragic past.",2016-12-02,20.6957,"Drama, Sci-Fi & Fantasy, Comedy",South Korea,Korean,8.6,2988
45,Desafío Champions Sendokai,Desafío Champions Sendokai,,2013-04-09,1.7082,"Animation, Comedy, Action & Adventure, Family",Spain,Spanish,8.597,231
46,Dan Da Dan,ダンダダン,"In a bet to prove whether ghosts or aliens exist, two high schoolers face terrifying paranormal threats, gain superpowers and maybe even fall in love?!",2024-10-04,20.4888,"Animation, Action & Adventure, Comedy, Sci-Fi & Fantasy",Japan,Japanese,8.598,717
47,Planet Earth,Planet Earth,"David Attenborough celebrates the amazing variety of the natural world in this epic documentary series, filmed over four years across 64 different countries.",2006-03-05,6.3754,Documentary,United Kingdom,English,8.596,1172
48,Stranger Things,Stranger Things,"When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces, and one strange little girl.",2016-07-15,338.2498,"Sci-Fi & Fantasy, Mystery, Action & Adventure",United States,English,8.594,19065
49,The Originals,The Originals,"The Vampire Diaries spin-off that follows the Mikaelsons, a family of millennia-old, power-hungry vampires who want to reclaim the city they built, New Orleans, and dominate all those who have wronged them.",2013-10-03,23.876,"Sci-Fi & Fantasy, Drama, Mystery",United States,English,8.6,3497
50,The Spectacular Spider-Man,The Spectacular Spider-Man,"Having spent the summer engaging common criminals with his new-found powers, not so typical 16-year-old Peter Parker must conceal his secret identity and battle super-villains in the real world as he enters his junior year of high school.",2008-03-08,7.6089,"Action & Adventure, Animation, Kids, Family",United States,English,8.6,869
51,Cardcaptor Sakura,カードキャプターさくら,"Sakura Kinomoto, an elementary school student who discovers that she possesses magical powers after accidentally freeing a set of magical cards from the book they had been sealed in for years. She is then tasked with retrieving those cards in order to avoid an unknown catastrophe from befalling the world.",1998-04-07,14.1625,"Animation, Sci-Fi & Fantasy, Action & Adventure",Japan,Japanese,8.6,771
52,Lovely Runner,선재 업고 튀어,"Right after Ryu Sun-jae, a top star, ends his life, Im Sol, his top fan, somehow ends up at a time when they were in high school and tries to protect him. A fantasy romance unfolds where people who missed each other in time finally meet.",2024-04-08,10.2833,"Drama, Sci-Fi & Fantasy, Comedy, Mystery",South Korea,Korean,8.59,217
53,"Love, Victor","Love, Victor","Victor is a new student at Creekwood High School on his own journey of self-discovery, facing challenges at home, adjusting to a new city, and struggling with his sexual orientation. When it all seems too much, he reaches out to Simon to help him navigate the ups and downs of high school.",2020-06-17,6.3629,"Comedy, Drama",United States,English,8.6,1615
54,No One Will Miss Us,Nadie nos va a extrañar,"It's the '90s, and five losers run an illegal business at their high school. They sell homework and assignments to their classmates. The advantage is that no one ever suspects the nerds. Their business brings them money and popularity. But hormones and an unexpected death threaten to ruin everything. If the business collapses, their futures and their friendships are at risk.",2024-08-09,3.1747,"Drama, Comedy",Mexico,Spanish,8.588,267
55,The Office,The Office,"The everyday lives of office employees in the Scranton, Pennsylvania branch of the fictional Dunder Mifflin Paper Company.",2005-03-24,59.8013,Comedy,United States,English,8.588,4791
56,Zoids: Chaotic Century,ゾイド,"Van discovers an Organoid in an abandoned laboratory while running from two strangers piloting Zoids. Also in the laboratory, in an animated suspension tube is a strange girl. He breaks the tube open and takes her and the Organoid with him. The girl, who says her name is Fiona, wants to find something called ""Zoid Eve"", and so Van, the Organoid Zeke, and Fiona begin their adventure.",1999-09-04,5.5727,"Action & Adventure, Animation, Comedy, Sci-Fi & Fantasy",Japan,Japanese,8.6,357
57,House,House,"Dr. Gregory House, a drug-addicted, unconventional, misanthropic medical genius, leads a team of diagnosticians at the fictional Princeton–Plainsboro Teaching Hospital in New Jersey.",2004-11-16,119.8375,"Drama, Comedy, Mystery",United States,English,8.586,7171
58,Band of Brothers,Band of Brothers,"Drawn from interviews with survivors of Easy Company, as well as their journals and letters, Band of Brothers chronicles the experiences of these men from paratrooper training in Georgia through the end of the war. As an elite rifle company parachuting into Normandy early on D-Day morning, participants in the Battle of the Bulge, and witness to the horrors of war, the men of Easy knew extraordinary bravery and extraordinary fear - and became the stuff of legend. Based on Stephen E. Ambrose's acclaimed book of the same name.",2001-09-09,16.2853,"Drama, War & Politics",United States,English,8.58,3926
59,Scissor Seven,刺客伍六七,"Seeking to recover his memory, a scissor-wielding, hairdressing, bungling quasi-assassin stumbles into a struggle for power among feuding factions.",2018-04-25,19.27,"Animation, Comedy, Action & Adventure, Sci-Fi & Fantasy",China,Chinese,8.6,740
60,InuYasha,犬夜叉,"Kagome Higurashi is a modern day young girl who lives with her family by the old Higure shrine. Unbeknownst to Kagome, she is the reincarnation of priestess Kikyo and posseses the ""Jewel of Four Souls"" (the Shikon jewel). One ill-fated day, Kagome locates an ancient well near her home and is abruptly transported through the well and into a feudal Japan, inhabited by demons. There, she encounters Inuyasha, son of a powerful demon father and a human mother, who is pinned to a tree by an enchanted arrow.",2000-10-16,13.8682,"Animation, Sci-Fi & Fantasy, Action & Adventure, Comedy, Mystery",Japan,Japanese,8.6,2043
61,JUJUTSU KAISEN,呪術廻戦,"Yuji Itadori is a boy with tremendous physical strength, though he lives a completely ordinary high school life. One day, to save a classmate who has been attacked by curses, he eats the finger of Ryomen Sukuna, taking the curse into his own soul. From then on, he shares one body with Ryomen Sukuna. Guided by the most powerful of sorcerers, Satoru Gojo, Itadori is admitted to Tokyo Jujutsu High School, an organization that fights the curses... and thus begins the heroic tale of a boy who became a curse to exorcise a curse, a life from which he could never turn back.",2020-10-03,62.6463,"Animation, Action & Adventure, Sci-Fi & Fantasy",Japan,Japanese,8.576,4017
62,Big Time Rush,Big Time Rush,"Four teenage friends move from Minneapolis to Los Angeles to form a potential chart-topping boy band after Kendall is inadvertently discovered by an eccentric record executive, Gustavo Rocque. As they seize this opportunity of a lifetime, these friends embark on an exciting comedy and music-filled journey to prove to themselves and their record label that they are serious about their new career choice.",2009-11-28,8.7949,"Comedy, Kids",United States,English,8.6,1665
63,Blue Planet II,Blue Planet II,There is nowhere more powerful and unforgiving yet more beautiful and compelling than the ocean. Join us and explore the greatest yet least known parts of our planet.,2017-10-29,2.637,"Documentary, Family",United Kingdom,English,8.6,306
64,Heartstopper,Heartstopper,Teens Charlie and Nick discover their unlikely friendship might be something more as they navigate school and young love in this coming-of-age series.,2022-04-22,10.3084,Drama,United Kingdom,English,8.574,1612
65,Villainous,Villanos,"Follow the misadventures of the Black Hat Org. with evil handyman Black Hat and his less evil aides Dr. Flugslys, Demencia, 5.0.5, Cam Bot, and Penumbra.",2017-05-15,1.8732,Animation,Mexico,Spanish,8.6,302
66,Banana Fish,BANANA FISH,A teenaged gang leader in New York City faces his abuser and rival gangs alongside a photojournalist from Japan as they investigate a deadly new drug.,2018-07-06,5.3496,"Animation, Drama, Action & Adventure, Mystery, Crime",Japan,Japanese,8.572,894
67,I'm in the Band,I'm in the Band,"Tripp Campbell is the new lead guitarist for Iron Weasel, a band that once ruled the world of 80s pop metal. Can he push the washed-up rockers out of his parents' guest room and back in the limelight?",2009-11-27,2.6858,Comedy,United States,English,8.572,270
68,Your Lie in April,四月は君の嘘,"Kousei Arima was a genius pianist until his mother's sudden death took away his ability to play. Each day was dull for Kousei. But, then he meets a violinist named Kaori Miyazono who has an eccentric playing style. Can the heartfelt sounds of the girl's violin lead the boy to play the piano again?",2014-10-10,9.9881,"Animation, Comedy, Drama",Japan,Japanese,8.6,1080
69,Navillera,나빌레라,A 70-year-old with a dream and a 23-year-old with a gift lift each other out of harsh realities and rise to the challenge of becoming ballerinos.,2021-03-22,4.2378,Drama,South Korea,Korean,8.569,202
70,Over the Garden Wall,Over the Garden Wall,"Two brothers, Wirt and Greg, find themselves lost in the Unknown; a strange forest adrift in time. With the help of a wise old Woodsman and a foul-tempered bluebird named Beatrice, Wirt and Greg must travel across this strange land, in hope of finding their way home. Join them as they encounter surprises and obstacles on their journey through the wood.",2014-11-03,7.067,"Mystery, Sci-Fi & Fantasy, Animation, Family, Comedy",United States,English,8.567,1636
71,Bluey,Bluey,"Bluey is an inexhaustible six year-old Blue Heeler dog, who loves to play and turns everyday family life into extraordinary adventures, developing her imagination as well as her mental, physical and emotional resilience.",2018-10-01,30.5308,"Animation, Comedy",Australia,English,8.6,649
72,Digimon Tamers,デジモンテイマーズ,"Takato, Ruki, and Lee are children who have, by fate, received real Digimon, unlike the imaginary ones in the card game they play. Each of the children, or Digimon Tamers, have their different views on how Digimon should be treated. But when other Digimon begin to appear around Japan, they must put aside their differences to fend off the digital intruders.",2001-04-01,5.6157,"Sci-Fi & Fantasy, Animation, Action & Adventure",Japan,Japanese,8.6,359
73,KONOSUBA - God's blessing on this wonderful world!,この素晴らしい世界に祝福を！,"After a traffic accident, Kazuma Sato’s  disappointingly brief life was supposed to be over, but he wakes up to  see a beautiful girl before him. She claims to be a goddess, Aqua, and  asks if he would like to go to another world and bring only one thing  with him. Kazuma decides to bring the goddess herself, and they are  transported to a fantasy world filled with adventure, ruled by a demon  king. Now Kazuma only wants to live in peace, but Aqua wants to solve  many of this world’s problems, and the demon king will only turn a blind  eye for so long…",2016-01-14,15.7845,"Action & Adventure, Animation, Comedy, Sci-Fi & Fantasy",Japan,Japanese,8.6,1377
74,Neon Genesis Evangelion,新世紀エヴァンゲリオン,"At the turn of the century, the Angels returned to Earth, seeking to wipe out humanity in an apocalyptic fury. Devastated, mankind's last remnants moved underground to wait for the day when the Angels would come back to finish the job. Fifteen years later, that day has come... but this time, humanity is ready to fight back with terrifying bio-mechanical weapons known as the Evangelions. Watch as Shinji, Rei, Asuka and the rest of the mysterious shadow agency Nerv battle to save earth from total annihilation.",1995-10-04,21.4158,"Sci-Fi & Fantasy, Animation, Drama",Japan,Japanese,8.56,1938
75,Boris,Boris,"Boris is an Italian television series created by Luca Manzi and Carlo Mazzotta, initially produced from 2007 to 2010, with a revival season premiered in 2022.

The show brings to the stage the behind the scenes of a television set where a troupe is shooting Gli occhi del cuore 2 (The eyes of the heart 2), a satirical portrait of the many fictions airing on the Italian TV networks.",2007-04-16,3.3192,Comedy,Italy,Italian,8.6,227
76,Batman: The Animated Series,Batman: The Animated Series,"Vowing to avenge the murder of his parents, Bruce Wayne devotes his life to wiping out crime in Gotham City as the masked vigilante ""Batman"".",1992-09-05,23.0894,"Action & Adventure, Animation, Drama, Mystery",United States,English,8.553,1729
77,given,ギヴン,"Ritsuka’s lost his spark for music—until he hears Mafuyu sing. One voice pulls him back in, and suddenly, everything starts to change between them.",2019-07-12,4.1033,"Animation, Drama",Japan,Japanese,8.552,773
78,JoJo's Bizarre Adventure,ジョジョの奇妙な冒険,"Follow the intergenerational feud between the Joestar Family and various forces of evil, the most prominent of which is Dio Brando and his followers.",2012-10-06,25.3422,"Animation, Action & Adventure, Sci-Fi & Fantasy",Japan,Japanese,8.5,1507
79,Shadow Hunter,Shadow Hunter,"A documentary series about the paranormal, hosted by Darryll Walsh, a ghost hunter, best-selling author and doctor of parapsychology.",2005-12-08,0.754,"Sci-Fi & Fantasy, Drama",Canada,English,8.5,922
80,X-Men '97,X-Men '97,"The X-Men, a band of mutants who use their uncanny gifts to protect a world that hates and fears them, are challenged like never before, forced to face a dangerous and unexpected new future.",2024-03-20,13.6288,"Animation, Action & Adventure, Sci-Fi & Fantasy",United States,English,8.546,592
81,Amphibia,Amphibia,"The adventures of 13-year-old, self-centered Anne Boonchuy who is magically transported to the fictitious world of Amphibia, a rural marshland full of frog-people. With the help of an excitable young frog named Sprig, Anne will become a hero and discover the first true friendship of her life.",2019-06-17,12.283,"Animation, Comedy, Kids, Action & Adventure, Sci-Fi & Fantasy, Family",United States,English,8.549,314
82,Alchemy of Souls,환혼,"A powerful sorceress in a blind woman's body encounters a man from a prestigious family, who wants her help to change his destiny.",2022-06-18,17.9223,"Drama, Sci-Fi & Fantasy, Action & Adventure, Mystery",South Korea,Korean,8.546,715
83,The Amazing World of Gumball,The Amazing World of Gumball,"The life of Gumball Watterson, a 12-year old cat who attends middle school in Elmore. Accompanied by his pet, adoptive brother, and best friend Darwin Watterson, he frequently finds himself involved in various shenanigans around the city, during which he interacts with various family members: Anais, Richard, and Nicole Watterson, and other various citizens.",2011-05-03,35.6173,"Animation, Family, Sci-Fi & Fantasy, Comedy","Germany, Ireland, United Kingdom, United States",English,8.545,1658
84,31 Minutos,31 Minutos,"Chilean television show which takes the form of a mock news broadcast, and is fronted by puppets who present various items.",2003-03-15,4.0958,"Comedy, Kids, Family",Chile,Spanish,8.5,361
85,Kaguya-sama: Love Is War,かぐや様は告らせたい～天才たちの恋愛頭脳戦～,"Considered a genius due to having the highest grades in the country, Miyuki Shirogane leads the prestigious Shuchiin Academy's student council as its president, working alongside the beautiful and wealthy vice president Kaguya Shinomiya. The two are often regarded as the perfect couple by students despite them not being in any sort of romantic relationship.",2019-01-12,17.4677,"Animation, Comedy",Japan,Japanese,8.5,789
86,Dororo,どろろ,"A samurai lord has bartered away his newborn son's organs to forty-eight demons in exchange for dominance on the battlefield. Yet, the abandoned infant survives thanks to a medicine man who equips him with primitive prosthetics—lethal ones with which the wronged son will use to hunt down the multitude of demons to reclaim his body one piece at a time, before confronting his father. On his journeys the young hero encounters an orphan who claims to be the greatest thief in Japan.",2019-01-07,8.6715,"Animation, Action & Adventure",Japan,Japanese,8.544,1262
